state,x,y
Alabama,122,-102
Alaska,-214,-180
Arizona,-218,-40
Arkansas,37,-53
California,-317,13
Colorado,-132,20
Connecticut,282,86
Delaware,275,38
Florida,210,-145
Georgia,168,-80
Hawaii,-317,-163
Idaho,-221,108
Illinois,84,37
Indiana,123,39
Iowa,38,65
Kansas,-37,5
Kentucky,139,-5
Louisiana,59,-114
Maine,312,164
Maryland,274,27
Massachusetts,306,106
Michigan,130,94
Minnesota,10,145
Mississippi,84,-78
Missouri,35,6
Montana,-161,150
Nebraska,-61,56
Nevada,-267,56
New Hampshire,302,122
New Jersey,282,65
New Mexico,-148,-43
New York,236,98
North Carolina,200,-28
North Dakota,-64,148
Ohio,166,46
Oklahoma,-28,-41
Oregon,-298,131
Pennsylvania,210,66
Rhode Island,318,94
South Carolina,210,-66
South Dakota,-64,99
Tennessee,111,-38
Texas,-38,-106
Utah,-189,34
Vermont,282,134
Virginia,224,4
Washington,-287,183
West Virginia,200,20
Wisconsin,58,113
Wyoming,-154,90
